level,user,password,team,province,date
4,TEST-DrewDevonport,TEST-TEST-DrewDevonport,TEST-Windsor Spitfires,AB,2022-02-25
3,TEST-NorahWillson,TEST-TEST-NorahWillson,TEST-Oshawa Generals,AB,2022-01-10
5,TEST-HankStyles,TEST-TEST-HankStyles,TEST-Kitchener Rangers,NS,2022-01-22
2,TEST-JackSmith,TEST-TEST-JackSmith,TEST-Hamilton Bulldogs,BC,2022-01-04
9,TEST-MeredithLarsen,TEST-TEST-MeredithLarsen,TEST-Niagara IceDogs,QC,2022-02-09
10,TEST-SamanthaPlant,TEST-TEST-SamanthaPlant,TEST-Guelph Storm,NU,2022-01-23
2,TEST-WilliamAdler,TEST-TEST-WilliamAdler,TEST-Sault Ste. Marie Greyhounds,SK,2022-01-01
4,TEST-VioletNicholls,TEST-TEST-VioletNicholls,TEST-North Bay Battalion,NT,2022-02-15
5,TEST-NicoleBishop,TEST-TEST-NicoleBishop,TEST-Hamilton Bulldogs,BC,2022-01-22
10,TEST-OwenBlackburn,TEST-TEST-OwenBlackburn,TEST-Sault Ste. Marie Greyhounds,SK,2022-01-08
8,TEST-BartFarrow,TEST-TEST-BartFarrow,TEST-Guelph Storm,NU,2022-01-01
8,TEST-CelinaLindsay,TEST-TEST-CelinaLindsay,TEST-Niagara IceDogs,QC,2022-03-02
8,TEST-RusselStrong,TEST-TEST-RusselStrong,TEST-Barrie Colts,ON,2022-02-08
5,TEST-AidenRyan,TEST-TEST-AidenRyan,TEST-Kitchener Rangers,NS,2022-01-02
2,TEST-ChuckBell,TEST-TEST-ChuckBell,TEST-Ottawa 67's,BC,2022-01-27
4,TEST-JocelynCrawley,TEST-TEST-JocelynCrawley,TEST-Barrie Colts,ON,2022-01-23
3,TEST-EmeraldKent,TEST-TEST-EmeraldKent,TEST-Barrie Colts,ON,2022-01-04
6,TEST-RoccoGlynn,TEST-TEST-RoccoGlynn,TEST-North Bay Battalion,NT,2022-01-31
2,TEST-ChesterJanes,TEST-TEST-ChesterJanes,TEST-Sault Ste. Marie Greyhounds,SK,2022-01-31
8,TEST-DannyThomson,TEST-TEST-DannyThomson,TEST-Oshawa Generals,AB,2022-01-02
5,TEST-HarveyWaterson,TEST-TEST-HarveyWaterson,TEST-Guelph Storm,NU,2022-02-12
10,TEST-AngelicaWilson,TEST-TEST-AngelicaWilson,TEST-Kitchener Rangers,NS,2022-02-02
2,TEST-RosalieWhitehouse,TEST-TEST-RosalieWhitehouse,TEST-Peterborough Petes,YT,2022-01-06
1,TEST-RonBailey,TEST-TEST-RonBailey,TEST-Sudbury Wolves,NB,2022-02-14
2,TEST-CedrickMorrow,TEST-TEST-CedrickMorrow,TEST-North Bay Battalion,NT,2022-01-12
4,TEST-DenisDrummond,TEST-TEST-DenisDrummond,TEST-London Knights,NL,2022-02-09
1,TEST-MonicaRussell,TEST-TEST-MonicaRussell,TEST-Peterborough Petes,YT,2022-01-05
9,TEST-MeganGavin,TEST-TEST-MeganGavin,TEST-London Knights,NL,2022-01-16
5,TEST-FreyaCoates,TEST-TEST-FreyaCoates,TEST-Sudbury Wolves,NB,2022-01-19
1,TEST-BernadetteBeal,TEST-TEST-BernadetteBeal,TEST-London Knights,NL,2022-01-26
3,TEST-AnabelleWelsch,TEST-TEST-AnabelleWelsch,TEST-London Knights,NL,2022-02-21
8,TEST-EileenJackson,TEST-TEST-EileenJackson,TEST-Guelph Storm,NU,2022-02-15
2,TEST-BarryCarpenter,TEST-TEST-BarryCarpenter,TEST-North Bay Battalion,NT,2022-02-07
2,TEST-DaronChappell,TEST-TEST-DaronChappell,TEST-Mississauga Steelheads,MB,2022-02-25
4,TEST-DavidMcnally,TEST-TEST-DavidMcnally,TEST-Ottawa 67's,BC,2022-02-07
4,TEST-SavannahTindall,TEST-TEST-SavannahTindall,TEST-Peterborough Petes,YT,2022-01-06
2,TEST-JuliannaFlynn,TEST-TEST-JuliannaFlynn,TEST-Mississauga Steelheads,MB,2022-02-07
7,TEST-CassidyPayne,TEST-TEST-CassidyPayne,TEST-Ottawa 67's,BC,2022-01-31
1,TEST-TylerMccall,TEST-TEST-TylerMccall,TEST-Windsor Spitfires,AB,2022-02-10
4,TEST-GraceLomax,TEST-TEST-GraceLomax,TEST-North Bay Battalion,NT,2022-02-14
5,TEST-JaydenRossi,TEST-TEST-JaydenRossi,TEST-Mississauga Steelheads,MB,2022-01-25
10,TEST-ManuelCarpenter,TEST-TEST-ManuelCarpenter,TEST-North Bay Battalion,NT,2022-01-05
4,TEST-MaraTutton,TEST-TEST-MaraTutton,TEST-Mississauga Steelheads,MB,2022-01-12
5,TEST-LeilaniRanks,TEST-TEST-LeilaniRanks,TEST-Peterborough Petes,YT,2022-01-25
7,TEST-MarigoldHewitt,TEST-TEST-MarigoldHewitt,TEST-North Bay Battalion,NT,2022-01-02
3,TEST-ChesterNeedham,TEST-TEST-ChesterNeedham,TEST-Peterborough Petes,YT,2022-02-23
7,TEST-JoshParsons,TEST-TEST-JoshParsons,TEST-Kitchener Rangers,NS,2022-02-14
1,TEST-OwenJames,TEST-TEST-OwenJames,TEST-London Knights,NL,2022-02-23
7,TEST-BarneyMcnally,TEST-TEST-BarneyMcnally,TEST-Owen Sound Attack,NS,2022-01-30
10,TEST-AlbaJacobs,TEST-TEST-AlbaJacobs,TEST-Kitchener Rangers,NS,2022-02-21
4,TEST-MarlaMarshall,TEST-TEST-MarlaMarshall,TEST-Owen Sound Attack,NS,2022-01-28
7,TEST-FredWeston,TEST-TEST-FredWeston,TEST-Sudbury Wolves,NB,2022-03-01
10,TEST-MarkVinton,TEST-TEST-MarkVinton,TEST-Sault Ste. Marie Greyhounds,SK,2022-01-02
4,TEST-BarneySanchez,TEST-TEST-BarneySanchez,TEST-Sarnia Sting,MB,2022-02-06
1,TEST-AidenBurge,TEST-TEST-AidenBurge,TEST-Guelph Storm,NU,2022-02-02
2,TEST-OwenStone,TEST-TEST-OwenStone,TEST-London Knights,NL,2022-01-22
5,TEST-ErinColl,TEST-TEST-ErinColl,TEST-Guelph Storm,NU,2022-02-10
1,TEST-TysonKhan,TEST-TEST-TysonKhan,TEST-Sudbury Wolves,NB,2022-01-16
10,TEST-GemmaHaines,TEST-TEST-GemmaHaines,TEST-Peterborough Petes,YT,2022-01-10
5,TEST-SarahVictor,TEST-TEST-SarahVictor,TEST-Kitchener Rangers,NS,2022-01-13
7,TEST-SloaneBryant,TEST-TEST-SloaneBryant,TEST-Sarnia Sting,MB,2022-02-06
7,TEST-IrisBrooks,TEST-TEST-IrisBrooks,TEST-North Bay Battalion,NT,2022-02-04
3,TEST-DianeRothwell,TEST-TEST-DianeRothwell,TEST-Owen Sound Attack,NS,2022-03-02
6,TEST-OliviaHolmes,TEST-TEST-OliviaHolmes,TEST-Owen Sound Attack,NS,2022-01-11
4,TEST-FredAlldridge,TEST-TEST-FredAlldridge,TEST-Sarnia Sting,MB,2022-01-10
10,TEST-RonaldEllis,TEST-TEST-RonaldEllis,TEST-London Knights,NL,2022-02-25
1,TEST-LivSherwood,TEST-TEST-LivSherwood,TEST-Mississauga Steelheads,MB,2022-02-14
7,TEST-BarneyAvery,TEST-TEST-BarneyAvery,TEST-Hamilton Bulldogs,BC,2022-01-22
6,TEST-DavidGregory,TEST-TEST-DavidGregory,TEST-Sault Ste. Marie Greyhounds,SK,2022-01-24
10,TEST-JosephTailor,TEST-TEST-JosephTailor,TEST-Guelph Storm,NU,2022-02-23
1,TEST-NathanRobertson,TEST-TEST-NathanRobertson,TEST-North Bay Battalion,NT,2022-02-13
9,TEST-BradSimpson,TEST-TEST-BradSimpson,TEST-Owen Sound Attack,NS,2022-01-13
7,TEST-JavierHunter,TEST-TEST-JavierHunter,TEST-Kingston Frontenacs,PE,2022-01-08
5,TEST-CelinaRodwell,TEST-TEST-CelinaRodwell,TEST-North Bay Battalion,NT,2022-02-10
3,TEST-PhillipKennedy,TEST-TEST-PhillipKennedy,TEST-Windsor Spitfires,AB,2022-01-16
5,TEST-DaphneLocke,TEST-TEST-DaphneLocke,TEST-Mississauga Steelheads,MB,2022-01-08
1,TEST-PriscillaBallard,TEST-TEST-PriscillaBallard,TEST-London Knights,NL,2022-01-26
5,TEST-DanielFox,TEST-TEST-DanielFox,TEST-Peterborough Petes,YT,2022-02-16
5,TEST-HarryMay,TEST-TEST-HarryMay,TEST-Sudbury Wolves,NB,2022-02-17
5,TEST-JuliaMorley,TEST-TEST-JuliaMorley,TEST-Hamilton Bulldogs,BC,2022-02-09
2,TEST-SamanthaWigley,TEST-TEST-SamanthaWigley,TEST-Owen Sound Attack,NS,2022-02-10
3,TEST-DestinyBright,TEST-TEST-DestinyBright,TEST-London Knights,NL,2022-01-25
7,TEST-AngeliqueCraig,TEST-TEST-AngeliqueCraig,TEST-Sudbury Wolves,NB,2022-02-11
4,TEST-LoganWeldon,TEST-TEST-LoganWeldon,TEST-Barrie Colts,ON,2022-02-28
1,TEST-ParkerVilliger,TEST-TEST-ParkerVilliger,TEST-Barrie Colts,ON,2022-01-21
2,TEST-BritneyBlythe,TEST-TEST-BritneyBlythe,TEST-Sudbury Wolves,NB,2022-02-06
10,TEST-CarlGaynor,TEST-TEST-CarlGaynor,TEST-Hamilton Bulldogs,BC,2022-02-04
2,TEST-HarveyWilson,TEST-TEST-HarveyWilson,TEST-Kingston Frontenacs,PE,2022-01-28
1,TEST-RogerAinsworth,TEST-TEST-RogerAinsworth,TEST-Owen Sound Attack,NS,2022-02-26
1,TEST-LoganWeatcroft,TEST-TEST-LoganWeatcroft,TEST-Niagara IceDogs,QC,2022-02-09
9,TEST-LilianaSelby,TEST-TEST-LilianaSelby,TEST-Ottawa 67's,BC,2022-01-01
5,TEST-JackelinePhillips,TEST-TEST-JackelinePhillips,TEST-Guelph Storm,NU,2022-01-27
9,TEST-RyanCarter,TEST-TEST-RyanCarter,TEST-London Knights,NL,2022-02-12
1,TEST-RoseWarner,TEST-TEST-RoseWarner,TEST-Owen Sound Attack,NS,2022-01-10
8,TEST-GwenVernon,TEST-TEST-GwenVernon,TEST-Ottawa 67's,BC,2022-01-09
3,TEST-BarneyWright,TEST-TEST-BarneyWright,TEST-Windsor Spitfires,AB,2022-02-23
10,TEST-RamonWigley,TEST-TEST-RamonWigley,TEST-Niagara IceDogs,QC,2022-01-25
7,TEST-AlexanderMills,TEST-TEST-AlexanderMills,TEST-Sudbury Wolves,NB,2022-02-22
4,TEST-GemmaNorris,TEST-TEST-GemmaNorris,TEST-Hamilton Bulldogs,BC,2022-02-24
1,TEST-DaliaStyles,TEST-TEST-DaliaStyles,TEST-Peterborough Petes,YT,2022-02-23
8,TEST-KurtZaoui,TEST-TEST-KurtZaoui,TEST-Windsor Spitfires,AB,2022-01-04
5,TEST-ErinMcgregor,TEST-TEST-ErinMcgregor,TEST-Owen Sound Attack,NS,2022-02-24
6,TEST-EstrellaMatthews,TEST-TEST-EstrellaMatthews,TEST-Sarnia Sting,MB,2022-01-01
3,TEST-ErickTownend,TEST-TEST-ErickTownend,TEST-Sault Ste. Marie Greyhounds,SK,2022-01-27
1,TEST-AlexFisher,TEST-TEST-AlexFisher,TEST-Guelph Storm,NU,2022-01-09
5,TEST-CarmellaHolmes,TEST-TEST-CarmellaHolmes,TEST-Mississauga Steelheads,MB,2022-01-09
8,TEST-AileenHaines,TEST-TEST-AileenHaines,TEST-Windsor Spitfires,AB,2022-02-17
6,TEST-AdalieWarren,TEST-TEST-AdalieWarren,TEST-Mississauga Steelheads,MB,2022-01-25
10,TEST-MinaAllington,TEST-TEST-MinaAllington,TEST-Kingston Frontenacs,PE,2022-01-11
4,TEST-LouiseDevonport,TEST-TEST-LouiseDevonport,TEST-Oshawa Generals,AB,2022-02-03
7,TEST-MarkGraham,TEST-TEST-MarkGraham,TEST-Mississauga Steelheads,MB,2022-01-03
6,TEST-CrystalDillon,TEST-TEST-CrystalDillon,TEST-Mississauga Steelheads,MB,2022-01-18
2,TEST-EllyEdwards,TEST-TEST-EllyEdwards,TEST-Sarnia Sting,MB,2022-01-17
5,TEST-JavierPowell,TEST-TEST-JavierPowell,TEST-Barrie Colts,ON,2022-02-10
9,TEST-DenisHerbert,TEST-TEST-DenisHerbert,TEST-Owen Sound Attack,NS,2022-03-03
4,TEST-AnthonyFleming,TEST-TEST-AnthonyFleming,TEST-Windsor Spitfires,AB,2022-02-22
1,TEST-ChuckGriffiths,TEST-TEST-ChuckGriffiths,TEST-Barrie Colts,ON,2022-01-05
1,TEST-LucyWalsh,TEST-TEST-LucyWalsh,TEST-Hamilton Bulldogs,BC,2022-01-08
10,TEST-ParkerSimpson,TEST-TEST-ParkerSimpson,TEST-Owen Sound Attack,NS,2022-02-17
2,TEST-CarterHobson,TEST-TEST-CarterHobson,TEST-Mississauga Steelheads,MB,2022-02-09
9,TEST-LiamAlcroft,TEST-TEST-LiamAlcroft,TEST-Windsor Spitfires,AB,2022-01-20
10,TEST-PenelopeDunbar,TEST-TEST-PenelopeDunbar,TEST-Barrie Colts,ON,2022-02-01
2,TEST-HenryGiles,TEST-TEST-HenryGiles,TEST-Owen Sound Attack,NS,2022-01-03
4,TEST-GraceGrady,TEST-TEST-GraceGrady,TEST-Barrie Colts,ON,2022-01-07
3,TEST-WendyVince,TEST-TEST-WendyVince,TEST-Oshawa Generals,AB,2022-02-20
3,TEST-LilyAdams,TEST-TEST-LilyAdams,TEST-Niagara IceDogs,QC,2022-01-17
8,TEST-GwenGordon,TEST-TEST-GwenGordon,TEST-Sudbury Wolves,NB,2022-01-28
3,TEST-NickLittle,TEST-TEST-NickLittle,TEST-Guelph Storm,NU,2022-02-07
3,TEST-MaggieLucas,TEST-TEST-MaggieLucas,TEST-Guelph Storm,NU,2022-01-10
9,TEST-RusselFarrell,TEST-TEST-RusselFarrell,TEST-Sudbury Wolves,NB,2022-01-29
7,TEST-BarryUpton,TEST-TEST-BarryUpton,TEST-Owen Sound Attack,NS,2022-01-13
2,TEST-DorisNurton,TEST-TEST-DorisNurton,TEST-Hamilton Bulldogs,BC,2022-01-21
10,TEST-ColleenIrwin,TEST-TEST-ColleenIrwin,TEST-Kitchener Rangers,NS,2022-03-03
1,TEST-AnthonyDickson,TEST-TEST-AnthonyDickson,TEST-Barrie Colts,ON,2022-03-01
9,TEST-MartinRehman,TEST-TEST-MartinRehman,TEST-North Bay Battalion,NT,2022-02-02
5,TEST-CarlaHammond,TEST-TEST-CarlaHammond,TEST-Guelph Storm,NU,2022-02-16
5,TEST-AlexSwift,TEST-TEST-AlexSwift,TEST-Barrie Colts,ON,2022-02-25
2,TEST-RonaldCoates,TEST-TEST-RonaldCoates,TEST-Oshawa Generals,AB,2022-01-14
8,TEST-ChristineRobertson,TEST-TEST-ChristineRobertson,TEST-Mississauga Steelheads,MB,2022-02-23
2,TEST-MatthewIngham,TEST-TEST-MatthewIngham,TEST-Owen Sound Attack,NS,2022-01-25
7,TEST-TeaganBrock,TEST-TEST-TeaganBrock,TEST-Sudbury Wolves,NB,2022-01-06
3,TEST-DougArcher,TEST-TEST-DougArcher,TEST-Oshawa Generals,AB,2022-01-08
6,TEST-MadisonRoberts,TEST-TEST-MadisonRoberts,TEST-Peterborough Petes,YT,2022-01-02
10,TEST-BartUddin,TEST-TEST-BartUddin,TEST-Sudbury Wolves,NB,2022-01-23
1,TEST-HarveyBecker,TEST-TEST-HarveyBecker,TEST-Oshawa Generals,AB,2022-02-28
7,TEST-GladysGates,TEST-TEST-GladysGates,TEST-Owen Sound Attack,NS,2022-02-18
7,TEST-CarlFaulkner,TEST-TEST-CarlFaulkner,TEST-London Knights,NL,2022-01-10
2,TEST-EduardoMurphy,TEST-TEST-EduardoMurphy,TEST-Kitchener Rangers,NS,2022-01-19
2,TEST-DannyOwen,TEST-TEST-DannyOwen,TEST-Niagara IceDogs,QC,2022-01-26
1,TEST-DanielWalker,TEST-TEST-DanielWalker,TEST-Ottawa 67's,BC,2022-03-02
3,TEST-LexiEmmott,TEST-TEST-LexiEmmott,TEST-North Bay Battalion,NT,2022-02-07
1,TEST-KeiraLucas,TEST-TEST-KeiraLucas,TEST-Sudbury Wolves,NB,2022-02-25
8,TEST-DannyGlass,TEST-TEST-DannyGlass,TEST-Mississauga Steelheads,MB,2022-02-03
10,TEST-JuliusSherwood,TEST-TEST-JuliusSherwood,TEST-Hamilton Bulldogs,BC,2022-01-11
1,TEST-GemmaStanley,TEST-TEST-GemmaStanley,TEST-Oshawa Generals,AB,2022-02-01
10,TEST-ChadFowler,TEST-TEST-ChadFowler,TEST-Guelph Storm,NU,2022-02-21
5,TEST-ChesterSteer,TEST-TEST-ChesterSteer,TEST-Sault Ste. Marie Greyhounds,SK,2022-02-04
6,TEST-LunaWilkinson,TEST-TEST-LunaWilkinson,TEST-Niagara IceDogs,QC,2022-02-23
9,TEST-DenisGlass,TEST-TEST-DenisGlass,TEST-Guelph Storm,NU,2022-03-02
10,TEST-KurtHogg,TEST-TEST-KurtHogg,TEST-Niagara IceDogs,QC,2022-02-19
3,TEST-ChuckJobson,TEST-TEST-ChuckJobson,TEST-Oshawa Generals,AB,2022-01-08
8,TEST-CourtneyHammond,TEST-TEST-CourtneyHammond,TEST-London Knights,NL,2022-02-12
3,TEST-JulianShea,TEST-TEST-JulianShea,TEST-Barrie Colts,ON,2022-02-17
8,TEST-SusanShepherd,TEST-TEST-SusanShepherd,TEST-Ottawa 67's,BC,2022-02-20
5,TEST-MattBenfield,TEST-TEST-MattBenfield,TEST-North Bay Battalion,NT,2022-01-14
6,TEST-BorisKerr,TEST-TEST-BorisKerr,TEST-London Knights,NL,2022-01-15
10,TEST-MayaDonnelly,TEST-TEST-MayaDonnelly,TEST-Ottawa 67's,BC,2022-01-14
4,TEST-DanielLewis,TEST-TEST-DanielLewis,TEST-Kitchener Rangers,NS,2022-01-12
3,TEST-GladysFarrell,TEST-TEST-GladysFarrell,TEST-Hamilton Bulldogs,BC,2022-01-15
7,TEST-CaydenceMurray,TEST-TEST-CaydenceMurray,TEST-Kitchener Rangers,NS,2022-01-05
3,TEST-LoganJames,TEST-TEST-LoganJames,TEST-Ottawa 67's,BC,2022-02-10
3,TEST-KassandraGilbert,TEST-TEST-KassandraGilbert,TEST-Windsor Spitfires,AB,2022-02-16
3,TEST-MarvinTaylor,TEST-TEST-MarvinTaylor,TEST-Oshawa Generals,AB,2022-01-11
6,TEST-CedrickBooth,TEST-TEST-CedrickBooth,TEST-North Bay Battalion,NT,2022-02-20
10,TEST-JoshRoberts,TEST-TEST-JoshRoberts,TEST-Mississauga Steelheads,MB,2022-01-20
4,TEST-DaronFranks,TEST-TEST-DaronFranks,TEST-North Bay Battalion,NT,2022-02-22
6,TEST-MaraDrew,TEST-TEST-MaraDrew,TEST-Windsor Spitfires,AB,2022-02-20
3,TEST-ClintFall,TEST-TEST-ClintFall,TEST-Windsor Spitfires,AB,2022-01-21
7,TEST-AnthonyCobb,TEST-TEST-AnthonyCobb,TEST-Windsor Spitfires,AB,2022-02-22
6,TEST-ClarissaVarndell,TEST-TEST-ClarissaVarndell,TEST-Peterborough Petes,YT,2022-02-27
6,TEST-ChristineScott,TEST-TEST-ChristineScott,TEST-Barrie Colts,ON,2022-01-03
6,TEST-VanessaNiles,TEST-TEST-VanessaNiles,TEST-Kitchener Rangers,NS,2022-01-03
10,TEST-ChuckEdwards,TEST-TEST-ChuckEdwards,TEST-Oshawa Generals,AB,2022-01-29
3,TEST-TaraClarkson,TEST-TEST-TaraClarkson,TEST-Sudbury Wolves,NB,2022-02-19
3,TEST-RaquelWilliams,TEST-TEST-RaquelWilliams,TEST-Owen Sound Attack,NS,2022-01-23
7,TEST-LunaEvans,TEST-TEST-LunaEvans,TEST-Guelph Storm,NU,2022-02-05
3,TEST-JuliannaParker,TEST-TEST-JuliannaParker,TEST-Guelph Storm,NU,2022-01-11
5,TEST-CatherineFox,TEST-TEST-CatherineFox,TEST-Sault Ste. Marie Greyhounds,SK,2022-01-22
7,TEST-AlexanderWild,TEST-TEST-AlexanderWild,TEST-Guelph Storm,NU,2022-01-10
1,TEST-TysonDrew,TEST-TEST-TysonDrew,TEST-Hamilton Bulldogs,BC,2022-02-05
3,TEST-EmeryYoung,TEST-TEST-EmeryYoung,TEST-Niagara IceDogs,QC,2022-01-13
7,TEST-AidenJackson,TEST-TEST-AidenJackson,TEST-Barrie Colts,ON,2022-02-19
5,TEST-JackRoss,TEST-TEST-JackRoss,TEST-Sarnia Sting,MB,2022-03-02
4,TEST-DaniRanks,TEST-TEST-DaniRanks,TEST-Windsor Spitfires,AB,2022-02-06
3,TEST-MikeAllen,TEST-TEST-MikeAllen,TEST-Hamilton Bulldogs,BC,2022-01-27
1,TEST-PriscillaShelton,TEST-TEST-PriscillaShelton,TEST-Barrie Colts,ON,2022-02-03
5,TEST-MasonSantos,TEST-TEST-MasonSantos,TEST-Ottawa 67's,BC,2022-02-15
10,TEST-AmyButler,TEST-TEST-AmyButler,TEST-Windsor Spitfires,AB,2022-01-19
8,TEST-MelaniaBlackwall,TEST-TEST-MelaniaBlackwall,TEST-London Knights,NL,2022-03-03
5,TEST-DavidBlythe,TEST-TEST-DavidBlythe,TEST-Owen Sound Attack,NS,2022-01-10
5,TEST-DaphneAddis,TEST-TEST-DaphneAddis,TEST-Windsor Spitfires,AB,2022-01-21
6,TEST-PeterJohn,TEST-TEST-PeterJohn,TEST-Owen Sound Attack,NS,2022-02-25
2,TEST-JanelleVernon,TEST-TEST-JanelleVernon,TEST-Sault Ste. Marie Greyhounds,SK,2022-01-06
5,TEST-AgnesBurnley,TEST-TEST-AgnesBurnley,TEST-Hamilton Bulldogs,BC,2022-01-23
1,TEST-JuliusPatel,TEST-TEST-JuliusPatel,TEST-Sault Ste. Marie Greyhounds,SK,2022-02-26
5,TEST-MargotHarrison,TEST-TEST-MargotHarrison,TEST-North Bay Battalion,NT,2022-03-02
8,TEST-JasmineAshley,TEST-TEST-JasmineAshley,TEST-Barrie Colts,ON,2022-02-24
2,TEST-VanessaWoods,TEST-TEST-VanessaWoods,TEST-Sarnia Sting,MB,2022-01-03
2,TEST-MarvinGibbons,TEST-TEST-MarvinGibbons,TEST-Kingston Frontenacs,PE,2022-02-11
8,TEST-MaxwellBell,TEST-TEST-MaxwellBell,TEST-Sarnia Sting,MB,2022-02-23
10,TEST-MadelynCarter,TEST-TEST-MadelynCarter,TEST-Barrie Colts,ON,2022-02-27
2,TEST-JackWard,TEST-TEST-JackWard,TEST-Barrie Colts,ON,2022-01-29
8,TEST-SofieBurge,TEST-TEST-SofieBurge,TEST-Windsor Spitfires,AB,2022-01-21
1,TEST-ChelseaUpton,TEST-TEST-ChelseaUpton,TEST-Niagara IceDogs,QC,2022-01-22
1,TEST-CarissaBooth,TEST-TEST-CarissaBooth,TEST-Kingston Frontenacs,PE,2022-01-16
2,TEST-AlexHarris,TEST-TEST-AlexHarris,TEST-Sault Ste. Marie Greyhounds,SK,2022-02-20
8,TEST-EmelyWaterhouse,TEST-TEST-EmelyWaterhouse,TEST-Sault Ste. Marie Greyhounds,SK,2022-03-01
5,TEST-TonyLee,TEST-TEST-TonyLee,TEST-Peterborough Petes,YT,2022-02-21
4,TEST-WadeGoodman,TEST-TEST-WadeGoodman,TEST-London Knights,NL,2022-02-09
1,TEST-AlexanderSpencer,TEST-TEST-AlexanderSpencer,TEST-Ottawa 67's,BC,2022-01-19
5,TEST-AdalindVane,TEST-TEST-AdalindVane,TEST-Peterborough Petes,YT,2022-01-30
8,TEST-NinaStone,TEST-TEST-NinaStone,TEST-Sudbury Wolves,NB,2022-01-11
8,TEST-LeroyFurnell,TEST-TEST-LeroyFurnell,TEST-Ottawa 67's,BC,2022-02-20
1,TEST-RamonEllison,TEST-TEST-RamonEllison,TEST-North Bay Battalion,NT,2022-01-28
7,TEST-AlbaVincent,TEST-TEST-AlbaVincent,TEST-Guelph Storm,NU,2022-01-03
1,TEST-MasonLane,TEST-TEST-MasonLane,TEST-Sudbury Wolves,NB,2022-01-31
9,TEST-LukeDonnelly,TEST-TEST-LukeDonnelly,TEST-Hamilton Bulldogs,BC,2022-02-04
6,TEST-ChadBrown,TEST-TEST-ChadBrown,TEST-Peterborough Petes,YT,2022-02-27
4,TEST-JoshRycroft,TEST-TEST-JoshRycroft,TEST-Oshawa Generals,AB,2022-01-19
9,TEST-LiamCavanagh,TEST-TEST-LiamCavanagh,TEST-North Bay Battalion,NT,2022-02-22
9,TEST-ErickFulton,TEST-TEST-ErickFulton,TEST-Barrie Colts,ON,2022-01-11
2,TEST-CourtneyHooper,TEST-TEST-CourtneyHooper,TEST-Oshawa Generals,AB,2022-01-18
8,TEST-MarkAllwood,TEST-TEST-MarkAllwood,TEST-Kitchener Rangers,NS,2022-01-25
2,TEST-NicholasShaw,TEST-TEST-NicholasShaw,TEST-Mississauga Steelheads,MB,2022-02-19
5,TEST-ClaireFranks,TEST-TEST-ClaireFranks,TEST-Owen Sound Attack,NS,2022-01-11
1,TEST-JaydenYates,TEST-TEST-JaydenYates,TEST-Peterborough Petes,YT,2022-01-18
6,TEST-ChesterVeale,TEST-TEST-ChesterVeale,TEST-London Knights,NL,2022-02-26
10,TEST-GeorgeNorton,TEST-TEST-GeorgeNorton,TEST-Oshawa Generals,AB,2022-02-23
1,TEST-RickWalsh,TEST-TEST-RickWalsh,TEST-Guelph Storm,NU,2022-01-24
2,TEST-MeredithAmstead,TEST-TEST-MeredithAmstead,TEST-Sudbury Wolves,NB,2022-01-26
10,TEST-JavierLondon,TEST-TEST-JavierLondon,TEST-Oshawa Generals,AB,2022-01-11
1,TEST-KimberlyHarrington,TEST-TEST-KimberlyHarrington,TEST-Niagara IceDogs,QC,2022-01-31
2,TEST-EmmanuelleStanton,TEST-TEST-EmmanuelleStanton,TEST-Ottawa 67's,BC,2022-02-23
4,TEST-JaneVarley,TEST-TEST-JaneVarley,TEST-Niagara IceDogs,QC,2022-02-18
10,TEST-FionaSmith,TEST-TEST-FionaSmith,TEST-Windsor Spitfires,AB,2022-01-07
9,TEST-BobDwyer,TEST-TEST-BobDwyer,TEST-Peterborough Petes,YT,2022-01-15
8,TEST-AmeliaTate,TEST-TEST-AmeliaTate,TEST-Owen Sound Attack,NS,2022-02-03
4,TEST-MelodyWalsh,TEST-TEST-MelodyWalsh,TEST-Hamilton Bulldogs,BC,2022-02-27
7,TEST-ChristineCarter,TEST-TEST-ChristineCarter,TEST-Ottawa 67's,BC,2022-01-03
3,TEST-LorraineBowen,TEST-TEST-LorraineBowen,TEST-Niagara IceDogs,QC,2022-01-27
4,TEST-CedrickHunter,TEST-TEST-CedrickHunter,TEST-Windsor Spitfires,AB,2022-01-19
2,TEST-RyanVaughan,TEST-TEST-RyanVaughan,TEST-North Bay Battalion,NT,2022-02-08
6,TEST-CarolynWalton,TEST-TEST-CarolynWalton,TEST-Mississauga Steelheads,MB,2022-02-26
5,TEST-JuliusRoman,TEST-TEST-JuliusRoman,TEST-Owen Sound Attack,NS,2022-02-23
2,TEST-EileenGarcia,TEST-TEST-EileenGarcia,TEST-Sudbury Wolves,NB,2022-02-08
10,TEST-MichaelParr,TEST-TEST-MichaelParr,TEST-London Knights,NL,2022-02-24
1,TEST-DomenicThorne,TEST-TEST-DomenicThorne,TEST-Mississauga Steelheads,MB,2022-03-01
10,TEST-JulesNelson,TEST-TEST-JulesNelson,TEST-Sudbury Wolves,NB,2022-02-04
7,TEST-EllenBoyle,TEST-TEST-EllenBoyle,TEST-Owen Sound Attack,NS,2022-02-09
7,TEST-JackelineWilson,TEST-TEST-JackelineWilson,TEST-Oshawa Generals,AB,2022-01-29
5,TEST-TonyMoreno,TEST-TEST-TonyMoreno,TEST-Kitchener Rangers,NS,2022-02-05
